Name,Team,Name,Age,G,AB,PA,H,2B,3B,HR,R,RBI,BB,SO,AVG,OBP,SLG,wOBA,WAR,wRC+,NameASCII,PlayerId,MLBAMID
"Hunter Goodman","COL","Hunter Goodman",25,92,349,374,98,19,4,18,49,57,21,102,0.280802292,0.326203208,0.512893982,0.3577085476826857,2.1381210959588555,116.95897858902822,"Hunter Goodman",29715,696100
"Heliot Ramos","SFG","Heliot Ramos",25,103,397,449,107,19,1,14,54,50,34,106,0.26952141,0.340757238,0.428211586,0.3335701395201203,1.2221081513943226,116.46962504702083,"Heliot Ramos",22515,671218
"Nathan Lukes","TOR","Nathan Lukes",30,79,211,247,57,8,0,7,32,37,27,31,0.27014218,0.356846473,0.407582938,0.33502280313100774,1.3972284744814902,115.93281627560495,"Nathan Lukes",18123,664770
"Nolan Schanuel","LAA","Nolan Schanuel",23,101,376,435,105,19,1,8,49,42,47,52,0.279255319,0.368055555,0.39893617,0.33739773539182183,1.4528990017908248,115.78700099855818,"Nolan Schanuel",33189,694384
"Willi Castro","MIN","Willi Castro",28,82,287,327,73,15,2,10,47,27,32,81,0.2543554,0.343558282,0.425087108,0.33663088376705463,1.2758272591782955,115.67893981984442,"Willi Castro",17338,650489
"Taylor Ward","LAA","Taylor Ward",31,103,395,446,92,25,2,24,57,77,43,121,0.232911392,0.307174887,0.488607594,0.3371473692776112,1.8835574079296074,115.61452019652351,"Taylor Ward",17548,621493
"Tyler Soderstrom","ATH","Tyler Soderstrom",23,106,383,429,98,17,1,19,53,60,39,99,0.255874673,0.331002331,0.454308093,0.33946962877411707,1.8430733332906777,115.57295946479718,"Tyler Soderstrom",27467,691016
"Wilyer Abreu","BOS","Wilyer Abreu",26,90,289,322,71,11,0,20,43,55,31,80,0.24567474,0.316770186,0.49134948,0.34115039477558257,2.0586551960750903,115.35411093969402,"Wilyer Abreu",23772,677800
"Steven Kwan","CLE","Steven Kwan",27,98,385,434,110,20,1,9,50,37,39,37,0.285714285,0.35103926,0.412987012,0.33332421258091927,2.8476283904851605,115.34356250549196,"Steven Kwan",24610,680757
"Julio Rodríguez","SEA","Julio Rodríguez",24,104,431,471,111,17,3,18,69,55,30,105,0.257540603,0.316348195,0.436194895,0.3254400207641277,3.185070002297846,115.25931057352221,"Julio Rodriguez",23697,677594
"Matthew Lugo","LAA","Matthew Lugo",24,17,42,43,10,2,1,3,6,6,0,16,0.238095238,0.255813953,0.547619047,0.33610187713489975,-0.023580261639050214,114.89426568498808,"Matthew Lugo",25980,683090
"TJ Friedl","CIN","TJ Friedl",29,101,380,450,102,15,2,10,62,36,51,69,0.268421052,0.369955156,0.397368421,0.34178591282378395,2.224604796029988,114.8243729952878,"TJ Friedl",19522,670770
"Christian Yelich","MIL","Christian Yelich",33,98,372,416,95,11,0,19,51,66,38,114,0.255376344,0.331730769,0.438172043,0.33329836349510394,1.2888659047259114,114.6448248317278,"Christian Yelich",11477,592885
